,,,,,,estimated_new_units,estimated_new_units,new_price,new_price,new_revenue,new_revenue,revenue_change_pct,revenue_change_pct,unit_change_pct,unit_change_pct
scenario,,,,,,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase
ppId,name,brand,search_term,currentMin,baseline_units,,,,,,,,,,
ppr5008550167,Premier Amour One Shoulder Womens Short Sleeve High-Low Fit + Flare Dress,premier amour,women's dresses,63.2,94.0,126.0,78.0,50.56,69.52000000000001,6370.56,5422.56,7.234042553191493,-8.723404255319146,34.0,-17.0
ppr5008551875,St. John's Bay Womens V Neck 3/4 Sleeve T-Shirt,st. john's bay,women's tops,18.0,114.0,155.0,93.0,14.4,19.8,2232.0,1841.4,8.771929824561402,-10.263157894736837,36.00000000000001,-18.000000000000004
ppr5008554160,( E-F/Si1-Si2 ) 3 CT. T.W. Lab-Grown Diamond 14K Gold 8.1mm Heart Stud Earrings,more brands,diamond earrings,2499.98,94.0,113.0,85.0,1999.9840000000002,2749.978,225998.192,233748.13,-3.8297872340425467,-0.5319148936170174,20.0,-10.0
ppr5008576516,St. John's Bay Womens Mock Neck Long Sleeve Pullover Sweater,st. john's bay,women's tops,24.99,174.0,237.0,143.0,19.992,27.489,4738.104,3930.927,8.965517241379334,-9.59770114942527,36.00000000000001,-18.000000000000004
ppr5008579745,Opposuits Festive Mens Long Sleeve Dress Shirt,opposuits,men's dress shirts,44.99,133.0,165.0,117.0,35.992000000000004,49.489000000000004,5938.68,5790.213000000001,-0.7518796992481166,-3.2330827067669077,24.0,-12.0
ppr5008589430,Liz Claiborne Womens Crew Neck Long Sleeve Pullover Sweater,liz claiborne,women's tops,39.99,114.0,155.0,93.0,31.992000000000004,43.989000000000004,4958.760000000001,4090.9770000000003,8.771929824561415,-10.263157894736846,36.00000000000001,-18.000000000000004
ppr5008590238,Liz Claiborne Tall Womens Crew Neck Long Sleeve Pullover Sweater,liz claiborne,women's tops,36.99,78.0,106.0,64.0,29.592000000000002,40.68900000000001,3136.7520000000004,2604.0960000000005,8.717948717948723,-9.743589743589736,36.00000000000001,-18.000000000000004
ppr5008590630,"(G, Si1-Si2) Womens 1 CT. T.W. Lab Grown White Diamond 14K Gold Over Silver 19.9mm Hoop Earrings",more brands,diamond earrings,333.32,94.0,113.0,85.0,266.656,366.65200000000004,30132.128,31165.420000000006,-3.8297872340425454,-0.5319148936169976,20.0,-10.0
ppr5008600520,Giovanna Signature Womens 3/4 Sleeve Midi Chevron A-Line Dress,giovanna signature,women's dresses,64.99,94.0,126.0,78.0,51.992,71.489,6550.991999999999,5576.142000000001,7.234042553191486,-8.72340425531913,34.0,-17.0
ppr5008608616,Liz Claiborne Plus Womens Crew Neck Long Sleeve Pullover Sweater,liz claiborne,women's tops,31.99,114.0,155.0,93.0,25.592,35.189,3966.7599999999998,3272.577,8.771929824561408,-10.263157894736828,36.00000000000001,-18.000000000000004
ppr5008614361,MSK Womens Long Sleeve Floral Maxi Dress,msk,women's dresses,70.5,94.0,126.0,78.0,56.400000000000006,77.55000000000001,7106.400000000001,6048.900000000001,7.234042553191497,-8.72340425531914,34.0,-17.0
ppr5008616459,American Glamour Badgley Mischka Crystal Top Handle Evening Bag,american glamour badgley mischka,handbags,72.0,105.0,136.0,89.0,57.6,79.2,7833.6,7048.8,3.619047619047624,-6.761904761904759,30.000000000000004,-15.000000000000002
ppr5008619176,Your Lifestyle By Donna Sharp Whitley Quilt Set,your lifestyle by donna sharp,comforter sets,160.99,128.0,164.0,110.0,128.792,177.08900000000003,21121.888,19479.790000000005,2.4999999999999893,-5.468749999999983,27.999999999999996,-13.999999999999998
ppr5008621778,Alfred Dunner Classics Womens Crew Neck 3/4 Sleeve T-Shirt,alfred dunner,women's tops,12.36,114.0,155.0,93.0,9.888,13.596,1532.6399999999999,1264.428,8.771929824561397,-10.263157894736832,36.00000000000001,-18.000000000000004
ppr5008623084,Rene by Rene Ruiz Collection Womens Sleeveless Embroidered Evening Gown,rene by rene ruiz collection,women's dresses,299.0,94.0,126.0,78.0,239.20000000000002,328.90000000000003,30139.2,25654.200000000004,7.234042553191491,-8.723404255319133,34.0,-17.0
ppr5008624487,Bebejan Golden Hex 5-pc. Reversible Comforter Set,bebejan,comforter sets,230.99,149.0,191.0,128.0,184.79200000000003,254.08900000000003,35295.272000000004,32523.392000000003,2.5503355704698056,-5.503355704697982,27.999999999999996,-13.999999999999998
ppr5008625740,Liz Claiborne Womens Short Sleeve Shirt Dress,liz claiborne,women's dresses,64.0,94.0,126.0,78.0,51.2,70.4,6451.200000000001,5491.200000000001,7.234042553191501,-8.723404255319137,34.0,-17.0
ppr5008639329,Believe Santa Hat Womens Crew Neck Long Sleeve Pullover Sweater,hybrid,women's tops,28.99,114.0,155.0,93.0,23.192,31.889,3594.76,2965.677,8.771929824561422,-10.26315789473683,36.00000000000001,-18.000000000000004
